Iteration	Posterior	Likelihood	Prior	beta_categories[1]	beta_categories[2]	beta_categories[3]	beta_categories[4]	beta_scale	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	tree_length
0	-408.6167	-417.6312	9.014486	0.0049081	0.20522	0.79478	0.995092	0.2105783	0.00563222	0.00581773	0.00298061	0.000238031	4.71794e-05	0.000385446	0.000219897	0.00291992	0.000642085	0.00115482	0.00250082	0.000863283	0.00147021	0.00178993	0.00165715	0.884052	0.0175237	0.00072986	0.0976942	0.00770349	0.093182	0.476926	2.09676	10.7317	129.811	3.518513	0.198883	0.205433	0.10525	0.00840526	0.00166598	0.0136107	0.00776491	0.103107	0.022673	0.0407785	0.0883079	0.0304839	0.0519153	0.0632054	0.0585167	0.02831933
36	-405.5978	-417.3299	11.73204	0.0115506	0.238092	0.761907	0.988449	0.2693873	0.0349165	0.00673741	0.0347784	0.0072403	0.000237317	0.00199089	0.000749093	0.0157771	0.0170435	0.0108276	0.0154412	0.0055135	0.00420327	0.0185624	0.00952504	0.845672	0.0261499	0.00125559	0.126922	0.0377593	0.202307	0.607419	1.64631	4.94298	26.4835	2.369152	0.190236	0.0367074	0.189483	0.0394473	0.00129297	0.010847	0.00408128	0.0859582	0.0928582	0.0589921	0.0841281	0.0300392	0.0229007	0.101133	0.0518953	0.1835435
72	-411.2483	-423.8102	12.56182	0.0218271	0.267696	0.732304	0.978173	0.3383457	0.113149	0.024709	0.467857	0.000451949	0.000434843	0.00242255	0.0198259	0.121699	0.0359427	0.0446594	0.138445	0.027096	0.0588713	0.124864	0.0478264	0.817408	0.0270513	0.000779347	0.154761	0.160971	0.410326	0.757362	1.32037	2.43709	6.21229	1.320707	0.0921218	0.0201172	0.380912	0.00036796	0.000354034	0.00197235	0.0161415	0.0990827	0.0292632	0.0363601	0.112717	0.0220606	0.0479309	0.10166	0.0389385	1.228254
108	-411.5178	-423.3313	11.81345	0.0224698	0.269161	0.730839	0.97753	0.3423006	0.219273	0.00744754	0.281945	0.00263099	0.00299751	0.0029795	0.004602	0.222249	0.117323	0.029	0.442526	0.0694187	0.0330143	0.114474	0.0584281	0.751892	0.0467125	0.000599589	0.200796	0.113085	0.345416	0.717747	1.39325	2.89506	8.84293	1.576014	0.136337	0.00463066	0.175305	0.00163587	0.00186377	0.00185257	0.00286139	0.138188	0.0729481	0.0180314	0.27515	0.0431626	0.0205274	0.0711768	0.0363289	1.608309
144	-410.5211	-423.2518	12.73062	0.069493	0.334473	0.665526	0.930507	0.6143156	0.188935	0.0269722	0.0436729	0.0166153	0.000194377	0.00546628	0.0143907	0.146586	0.107557	0.071913	0.178518	0.0545499	0.0307902	0.0196768	0.202019	0.914481	0.0271524	0.0258521	0.0325142	0.23979	0.498358	0.804708	1.24269	2.00659	4.17032	1.032537	0.170541	0.0243463	0.0394211	0.0149977	0.000175453	0.00493411	0.0129897	0.132315	0.0970854	0.0649118	0.161138	0.0492391	0.0277926	0.0177611	0.182351	1.107856
180	-410.8731	-422.7592	11.88609	0.0772071	0.341404	0.658596	0.922793	0.661347	0.751325	0.0626166	0.177973	0.0436628	0.00289589	0.00173875	0.00390114	0.191614	0.0355465	0.0861558	0.125195	0.0543504	0.0136102	0.0241924	0.218474	0.834974	0.0224066	0.0169357	0.125684	0.273214	0.531105	0.820846	1.21826	1.88287	3.66014	0.9381828	0.418973	0.0349179	0.0992462	0.0243484	0.00161488	0.000969606	0.00217546	0.106853	0.0198224	0.0480445	0.0698147	0.0303083	0.00758968	0.0134908	0.121831	1.793251
216	-413.0007	-425.4816	12.48088	0.0771895	0.341389	0.658611	0.922811	0.6612379	0.353374	0.0405625	0.0872841	0.0194876	0.00172837	0.0120172	0.00567493	0.202025	0.118419	0.0428768	0.00492755	0.0545416	0.036652	0.0340161	0.16168	0.915837	0.0424407	0.0101656	0.0315564	0.201887	0.458247	0.783916	1.27565	2.18223	4.95326	1.156944	0.300676	0.0345135	0.0742675	0.0165814	0.00147062	0.0102251	0.00482864	0.171897	0.100759	0.0364826	0.00419271	0.0464079	0.0311862	0.0289433	0.137569	1.175266
252	-414.5312	-426.7985	12.26732	0.0484919	0.311873	0.688127	0.951508	0.492335	0.547789	0.0383565	0.0187307	0.0155195	0.0087645	0.0257902	0.00599595	0.160345	0.233045	0.068604	0.18942	0.0192186	0.066605	0.102506	0.18387	0.894776	0.0324482	0.0228933	0.0498827	0.29327	0.549775	0.829741	1.2052	1.81893	3.40983	0.8869617	0.325182	0.0227694	0.0111191	0.00921282	0.00520284	0.0153098	0.00355936	0.0951853	0.138342	0.0407252	0.112445	0.0114087	0.0395385	0.06085	0.10915	1.68456
288	-412.4875	-425.8543	13.3668	0.0288405	0.282196	0.717804	0.97116	0.3803432	0.371751	0.0390129	0.0697308	0.0170065	0.00419787	0.00619495	0.00581841	0.132655	0.296396	0.0579307	0.0969807	0.0696581	0.086744	0.0355814	0.0990678	0.749788	0.0445733	0.0282688	0.17737	0.671935	0.823734	0.941298	1.06236	1.21398	1.48824	0.2874871	0.267692	0.0280926	0.0502121	0.0122461	0.00302282	0.00446089	0.00418975	0.0955225	0.21343	0.041715	0.0698343	0.0501597	0.062463	0.0256216	0.0713372	1.388726
324	-417.4138	-430.1273	12.71354	0.026432	0.277553	0.722447	0.973568	0.366169	0.319556	0.0253078	0.0550985	0.0336046	0.00923767	0.0233341	0.0107796	0.027054	0.0797086	0.0833427	0.0175983	0.0866314	0.0694418	0.0638432	0.362951	0.855351	0.0790883	0.0468431	0.0187176	0.217607	0.475315	0.79291	1.26118	2.10387	4.59544	1.102727	0.252117	0.0199669	0.0434706	0.0265127	0.00728817	0.0184097	0.0085047	0.0213446	0.062887	0.0657542	0.0138844	0.0683488	0.0547869	0.0503698	0.286354	1.267489
