Iteration	Posterior	Likelihood	Prior	beta_categories[1]	beta_categories[2]	beta_categories[3]	beta_categories[4]	beta_scale	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	tree_length
0	-408.2997	-420.97	12.67032	0.052886	0.317167	0.682833	0.947114	0.5173415	0.218287	0.111522	0.253121	0.0011396	0.00162733	0.00814114	0.0061926	0.10414	0.121159	0.00437991	0.104957	0.128649	0.061154	0.0577961	0.0722152	0.857853	0.0653809	0.0259021	0.0508636	0.242524	0.501122	0.806098	1.24054	1.99552	4.1233	1.024339	0.174006	0.0888992	0.201773	0.000908424	0.00129721	0.00648964	0.00493638	0.0830146	0.0965812	0.00349141	0.0836654	0.102551	0.0487484	0.0460717	0.0575658	1.254482
36	-408.3879	-421.1849	12.79698	0.019552	0.262232	0.737768	0.980448	0.3241091	0.222149	0.0447426	0.123407	0.0207479	0.00459765	0.00360696	0.00497992	0.114329	0.0425651	0.016341	0.0171142	0.0897958	0.111282	0.0509664	0.0420414	0.958576	0.00078892	0.0072535	0.0333815	0.138023	0.380673	0.739843	1.35164	2.62693	7.24519	1.43192	0.244478	0.0492399	0.135811	0.0228334	0.00505977	0.00396951	0.00548047	0.125821	0.0468434	0.0179835	0.0188344	0.0988215	0.122467	0.0560892	0.0462671	0.9086668
72	-408.3048	-420.3329	12.02807	6.13252e-10	0.0501438	0.949856	1	0.03880039	0.118938	0.0693253	0.0646968	0.00662496	0.000103221	0.00297866	0.00372591	0.0473578	0.023514	0.0340279	0.000654136	0.0585369	0.0353745	0.0290885	0.0162781	0.527138	0.402872	0.00812266	0.0618679	0.196052	0.45174	0.780425	1.28135	2.21366	5.10068	1.178149	0.232653	0.135606	0.126553	0.012959	0.000201908	0.00582652	0.0072882	0.0926359	0.0459954	0.0665615	0.00127955	0.114503	0.0691957	0.0568997	0.0318415	0.5112248
108	-404.2234	-416.9803	12.75689	0.0211351	0.266082	0.733918	0.978865	0.3340566	0.128402	0.0190825	0.0385507	0.00502696	0.000585464	0.00282471	0.00175443	0.0727677	0.0636724	0.00612099	0.0516959	0.0921753	0.0162466	0.0303677	0.0201209	0.856272	0.0756403	0.0039874	0.0641001	0.0977333	0.321693	0.70199	1.42452	3.10856	10.2319	1.681506	0.233715	0.0347336	0.0701694	0.00915001	0.00106565	0.0051415	0.00319339	0.132451	0.115896	0.0111414	0.0940962	0.167776	0.0295719	0.0552749	0.0366239	0.5493941
144	-410.3603	-422.4759	12.11564	0.00708179	0.218406	0.781594	0.992918	0.232433	0.058374	0.0303357	0.0265698	0.00797501	0.00198335	0.00156899	0.00133688	0.00941382	0.0280223	0.00245319	0.00951011	0.0122488	0.013273	0.0105359	0.002843	0.952309	0.0236662	0.00364271	0.0203819	0.0560077	0.245198	0.644972	1.55046	4.07833	17.8547	2.084077	0.269696	0.140155	0.122756	0.0368456	0.00916333	0.00724893	0.00617656	0.0434931	0.129467	0.0113341	0.043938	0.0565911	0.0613232	0.0486772	0.013135	0.2164438
180	-415.9163	-427.6085	11.69217	0.0592619	0.324263	0.675737	0.940738	0.5540168	0.0393318	0.0267311	0.0308211	0.00294371	0.000698233	0.00403981	0.00285064	0.0250374	0.0150681	0.0174707	0.0135652	0.0267264	0.00586019	0.0224688	0.020561	0.908718	0.0370672	0.0401002	0.0141147	0.0377588	0.202306	0.607417	1.64631	4.94302	26.4839	2.369163	0.154744	0.105168	0.12126	0.0115815	0.00274706	0.0158939	0.0112153	0.098505	0.0592825	0.0687351	0.0533697	0.10515	0.0230558	0.0883991	0.0808934	0.2541743
216	-413.5059	-426.283	12.77709	0.0353395	0.293389	0.706611	0.96466	0.417802	0.18897	0.0772039	0.0753408	0.00431222	0.00186669	0.00558849	0.00691991	0.0740594	0.033613	0.0311679	0.0338186	0.116165	0.00208472	0.0645138	0.0659783	0.721852	0.261193	0.00442775	0.0125277	0.128199	0.367209	0.731579	1.36691	2.72324	7.80035	1.485305	0.241772	0.0987764	0.0963926	0.00551715	0.00238828	0.00715003	0.00885348	0.0947532	0.0430052	0.0398769	0.0432682	0.148625	0.00266724	0.0825404	0.0844141	0.7816031
252	-404.114	-415.6068	11.49278	0.00330394	0.192345	0.807655	0.996696	0.1910408	0.0251126	0.00972986	0.0162682	8.92461e-05	0.00033978	0.000789374	0.000595945	0.0269509	0.00482098	0.00741845	0.00215247	0.0239007	0.0108294	0.000748774	0.00791909	0.804151	0.0281875	0.00225708	0.165404	0.0368471	0.199909	0.605163	1.65245	5.00229	27.1392	2.386835	0.182417	0.0706774	0.118172	0.000648281	0.00246816	0.00573399	0.00432893	0.195771	0.0350194	0.0538874	0.0156355	0.173614	0.0786644	0.00543907	0.057524	0.1376658
288	-405.6472	-418.5252	12.87801	0.0113507	0.237346	0.762654	0.988649	0.2678762	0.124993	0.0579796	0.0712039	0.00801209	0.000986827	0.00616091	0.00211258	0.0937752	0.0397434	0.0312266	0.00525493	0.104797	0.0952873	0.000273811	0.0287102	0.849412	0.04185	0.000842273	0.107895	0.118024	0.352694	0.722431	1.38421	2.83532	8.47284	1.545101	0.186413	0.0864698	0.106192	0.0119491	0.00147174	0.00918828	0.00315067	0.139855	0.0592727	0.0465709	0.00783711	0.156293	0.14211	0.000408357	0.0428179	0.6705181
324	-402.869	-415.447	12.578	0.00734389	0.219783	0.780217	0.992656	0.2348386	0.123856	0.0058701	0.0271547	0.000356604	7.835e-05	0.003664	0.00622085	0.0488049	0.0331291	0.00861398	0.028952	0.0339225	0.00466912	0.0185303	0.0130578	0.837356	0.0322401	0.00328069	0.127123	0.0783366	0.288791	0.678754	1.47329	3.46271	12.7654	1.841468	0.347052	0.0164484	0.0760891	0.000999225	0.000219541	0.0102667	0.0174312	0.136754	0.0928297	0.0241369	0.0811252	0.0950529	0.0130831	0.0519231	0.0365886	0.3568806
360	-405.7785	-418.4858	12.70731	0.0217295	0.267471	0.732529	0.97827	0.3377429	0.266093	0.0632585	0.158913	0.0220448	0.000526151	0.00616634	0.0106722	0.113789	0.0538424	0.0602459	0.113751	0.26145	0.0511514	0.0677929	0.0607284	0.886117	0.0577724	0.0208635	0.0352476	0.225796	0.483955	0.79738	1.25411	2.06631	4.42878	1.076017	0.203058	0.0482732	0.121268	0.0168226	0.000401512	0.0047056	0.0081441	0.0868339	0.0410877	0.0459743	0.0868045	0.199516	0.0390342	0.0517335	0.0463425	1.310426
396	-404.1126	-416.669	12.55641	0.0354112	0.293503	0.706497	0.964589	0.4182106	0.1292	0.0371004	0.107915	0.00586903	0.000481019	0.00352385	0.00124818	0.0627642	0.0302196	0.022334	0.00183553	0.0433069	0.0930912	0.0210458	0.0196766	0.886358	0.0108771	0.00239058	0.100374	0.0817511	0.294863	0.683174	1.46376	3.3914	12.2322	1.810619	0.222908	0.0640091	0.186185	0.0101258	0.000829899	0.00607967	0.00215348	0.108287	0.0521377	0.0385327	0.00316683	0.0747171	0.16061	0.0363102	0.0339479	0.5796115
432	-410.1885	-422.855	12.66653	0.0131061	0.243596	0.756404	0.986894	0.2808319	0.130386	0.0117603	0.0249313	0.0027085	0.00216676	0.00580551	0.000928439	0.0395838	0.128894	0.0339709	0.00458477	0.0916763	0.0473299	0.0315242	0.0152321	0.875584	0.0332619	0.00426043	0.086894	0.0838977	0.298614	0.685873	1.45799	3.34881	11.9193	1.791878	0.228153	0.0205785	0.0436256	0.00473942	0.00379147	0.0101587	0.00162461	0.069265	0.225544	0.0594435	0.00802259	0.160418	0.0828195	0.0551621	0.0266536	0.5714829
468	-417.1159	-430.4385	13.32255	0.00272289	0.186522	0.813478	0.997277	0.1827105	0.0651549	0.00599167	0.112897	0.010635	0.00214129	0.00902675	0.0109134	0.0580257	0.0741655	0.0684637	0.109424	0.120871	0.0372994	0.106629	0.0753753	0.172803	0.579839	0.0920495	0.155309	0.276709	0.534408	0.822435	1.2159	1.87123	3.61391	0.9289916	0.0751486	0.00691069	0.130214	0.0122662	0.00246973	0.0104113	0.0125874	0.0669259	0.0855414	0.0789649	0.126208	0.139411	0.0430205	0.122984	0.0869367	0.867014
504	-408.458	-421.0154	12.55741	5.23508e-07	0.0750697	0.92493	0.999999	0.06025341	0.203989	0.0155876	0.0335911	0.0143757	0.00203932	0.00278083	0.00675835	0.0953676	0.011808	0.00320771	0.0466688	0.0761745	0.0447091	0.0528596	0.0291985	0.0104722	0.688007	0.0544071	0.247113	0.206051	0.462832	0.786354	1.27169	2.16061	4.85317	1.142183	0.319173	0.0243893	0.0525588	0.0224932	0.00319084	0.00435106	0.0105745	0.149218	0.0184756	0.00501899	0.0730209	0.119187	0.0699546	0.0827075	0.0456858	0.6391152
540	-415.5911	-428.1723	12.58116	0.0883906	0.350524	0.649477	0.911609	0.7325491	0.22162	0.00885299	0.117129	0.00696909	0.0136779	0.0087949	0.0116862	0.10026	0.127093	0.0937048	0.0302308	0.0110583	0.153818	0.0266229	0.0531061	0.596792	0.293955	0.0184804	0.090773	0.194086	0.449525	0.77923	1.28332	2.22457	5.15234	1.185436	0.225081	0.00899124	0.118958	0.00707792	0.0138915	0.00893225	0.0118687	0.101826	0.129077	0.0951682	0.0307029	0.011231	0.15622	0.0270387	0.0539354	0.9846236
576	-413.045	-425.7951	12.75009	9.19151e-06	0.0946365	0.905364	0.999991	0.0782478	0.0977995	0.0781292	0.0407283	0.0380321	0.0003757	0.00873016	0.00193134	0.0880698	0.0662919	0.0284298	0.0398004	0.0908034	0.0454434	0.0227406	0.00204812	0.444675	0.484659	0.0623679	0.00829808	0.192666	0.447917	0.778359	1.28475	2.23256	5.19034	1.190749	0.150611	0.120318	0.0627213	0.0585691	0.000578575	0.0134444	0.00297426	0.135627	0.102089	0.0437816	0.0612923	0.139837	0.0699824	0.0350203	0.00315409	0.6493537
612	-409.134	-422.4667	13.33264	0.0219901	0.268071	0.731929	0.97801	0.3393512	0.189472	0.0483057	0.0610879	0.0137181	0.000721456	0.00834472	0.00620843	0.180673	0.00689952	0.00935874	0.0224174	0.0828138	0.0692595	0.024679	0.0186835	0.852951	0.0188512	0.0361521	0.0920452	0.244884	0.503494	0.807286	1.23872	1.98612	4.08357	1.017338	0.255133	0.0650456	0.0822574	0.0184719	0.00097147	0.0112365	0.0083599	0.243284	0.00929049	0.0126019	0.0301859	0.111512	0.0932607	0.0332313	0.0251581	0.7426432
648	-409.2877	-422.2095	12.92189	0.0354007	0.293487	0.706513	0.964599	0.418151	0.120051	0.0470888	0.00849836	0.0183499	0.000777095	0.00653167	0.00513167	0.145832	0.0933859	0.00336125	0.0144634	0.069049	0.0518755	0.0257399	0.00509525	0.789461	0.0227534	0.00373049	0.184055	0.137703	0.380242	0.739583	1.35211	2.6299	7.262	1.433597	0.195131	0.0765384	0.0138133	0.0298261	0.0012631	0.0106166	0.00834105	0.237036	0.15179	0.00546341	0.023509	0.112233	0.0843189	0.0418378	0.00828185	0.6152306
684	-414.6132	-427.7115	13.09836	0.0725449	0.337286	0.662714	0.927455	0.6327421	0.127394	0.0950022	0.143761	0.0575251	0.00356198	0.0116736	0.00660165	0.0876165	0.0415835	0.0596985	0.0294267	0.0617725	0.0221689	0.0504947	0.0248312	0.835888	0.0774859	0.00247836	0.084148	0.28104	0.538472	0.824381	1.21303	1.85711	3.55821	0.9177609	0.154771	0.115418	0.174656	0.0698873	0.00432745	0.0141823	0.00802035	0.106445	0.0505198	0.0725278	0.0357505	0.0750475	0.026933	0.0613461	0.0301674	0.8231125
720	-411.5801	-424.7629	13.18271	0.0223278	0.26884	0.73116	0.977672	0.341429	0.129837	0.0542073	0.131903	0.0240267	0.00404449	0.0086587	0.00203175	0.152076	0.0483752	0.014067	0.136474	0.11324	0.0924811	0.0377632	0.0198747	0.926717	0.01004	0.0186988	0.0445439	0.258146	0.516613	0.813791	1.22882	1.93569	3.87378	0.9792022	0.133982	0.0559379	0.136114	0.0247938	0.00417362	0.00893515	0.00209662	0.156931	0.0499197	0.0145161	0.140832	0.116856	0.0954337	0.0389689	0.0205093	0.9690605
756	-406.7904	-420.0702	13.27982	0.0277941	0.280217	0.719783	0.972206	0.3742106	0.287828	0.0266294	0.0536788	0.0277755	0.000816599	0.0080489	0.00775228	0.113672	0.0165569	0.014939	0.0537453	0.0402504	0.130135	0.0422222	0.0102407	0.850483	0.0298236	0.0278085	0.0918846	0.258378	0.516839	0.813902	1.22865	1.93484	3.8703	0.9785516	0.344997	0.0319185	0.0643407	0.0332923	0.000978794	0.00964759	0.00929206	0.13625	0.0198455	0.0179062	0.0644204	0.048245	0.155983	0.0506085	0.0122748	0.8342911
792	-420.1696	-432.3584	12.18886	0.0956293	0.355941	0.644059	0.904371	0.7808741	0.336931	0.140612	0.0210473	0.0146698	0.00372964	0.0232615	0.00474881	0.111275	0.211316	0.012726	0.0506819	0.000606065	0.0823374	0.362849	0.0840468	0.843573	0.00145581	0.0604649	0.0945059	0.261866	0.520231	0.815565	1.22614	1.92222	3.81874	0.968855	0.230642	0.0962542	0.0144077	0.010042	0.00255308	0.0159234	0.00325075	0.0761722	0.144654	0.00871143	0.0346937	0.000414875	0.0563631	0.248384	0.0575333	1.460838
828	-413.8806	-426.8926	13.01208	0.0782192	0.342272	0.657728	0.921781	0.6676348	0.13638	0.00509704	0.116553	0.0023424	0.00281349	0.00397902	0.00608776	0.147311	0.172496	0.0656824	0.0693788	0.0568237	0.00941168	0.140152	0.0705465	0.806169	0.0147662	0.0521002	0.126964	0.329409	0.581833	0.844542	1.18407	1.71871	3.03574	0.8029346	0.135694	0.0050714	0.115967	0.00233062	0.00279934	0.00395901	0.00605714	0.14657	0.171629	0.065352	0.0690299	0.0565379	0.00936434	0.139447	0.0701917	1.005055
864	-412.7328	-424.6683	11.93545	0.0575529	0.322423	0.677577	0.942447	0.5441308	0.277626	0.00883276	0.236746	0.0301097	0.00090685	0.00223505	0.00946748	0.179575	0.154612	0.0922901	0.055801	0.0939283	0.149183	0.393979	0.0496256	0.876208	0.00798916	0.0992195	0.0165837	0.219863	0.477712	0.794156	1.2592	2.09331	4.54829	1.09527	0.160023	0.00509117	0.13646	0.0173551	0.000522705	0.00128827	0.00545702	0.103506	0.0891176	0.0531957	0.0321635	0.0541399	0.0859883	0.227088	0.028604	1.734917
900	-414.9355	-427.798	12.8625	0.0756096	0.340016	0.659984	0.92439	0.65148	0.157434	0.0574281	0.0880051	0.0374401	0.0084542	0.010611	0.0171724	0.127289	0.085782	0.0180666	0.339226	0.0784897	0.0369982	0.127095	0.0560917	0.78663	0.0554751	0.0405376	0.117358	0.378169	0.622353	0.862468	1.15946	1.60681	2.64432	0.7031216	0.126394	0.0461053	0.0706537	0.0300583	0.00678734	0.00851893	0.0137866	0.102193	0.0688689	0.0145046	0.272343	0.0630143	0.0297035	0.102036	0.0450325	1.245584
936	-412.9769	-425.1996	12.22265	0.0106299	0.234571	0.765429	0.98937	0.2623393	0.022462	0.00630379	0.034693	0.005307	0.00100109	0.00271238	0.00253919	0.0174652	0.0287201	0.013638	0.00879312	0.0150611	0.0130431	0.0333879	0.0151865	0.741589	0.0927566	0.0192907	0.146363	0.0639077	0.261496	0.658051	1.51964	3.82415	15.6476	1.988668	0.101955	0.0286128	0.157471	0.0240884	0.00454394	0.0123114	0.0115254	0.0792744	0.13036	0.0619029	0.0399118	0.0683621	0.0592023	0.151547	0.0689314	0.2203134
972	-409.6936	-422.7102	13.01658	0.0324757	0.28867	0.71133	0.967524	0.4014053	0.253814	0.0170024	0.0900414	0.00781133	0.00384199	0.0116899	0.00626093	0.0812932	0.00509072	0.137798	0.0306594	0.00769448	0.0282988	0.10214	0.0340124	0.881259	0.070026	0.0282368	0.020478	0.181703	0.4353	0.771452	1.29626	2.29726	5.50348	1.233108	0.310495	0.0207994	0.110149	0.00955573	0.00469997	0.0143004	0.0076591	0.0994474	0.00622756	0.168571	0.0375062	0.00941279	0.0346185	0.12495	0.0416079	0.8174493
1008	-409.9304	-422.7442	12.81386	0.0259599	0.276606	0.723394	0.97404	0.3633652	0.176201	0.036851	0.0196054	0.0137895	0.0068849	0.00153712	0.00330819	0.0383855	0.0911141	0.035035	0.00995361	0.00646283	0.0519689	0.0573564	0.0170962	0.899429	0.0229742	0.014825	0.0627721	0.109189	0.339561	0.713929	1.4007	2.94498	9.15841	1.601361	0.311557	0.0651597	0.0346662	0.0243825	0.0121738	0.00271792	0.00584952	0.0678729	0.161107	0.0619485	0.0175999	0.0114275	0.0918911	0.101417	0.0302293	0.5655495
